id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ergibt sich aus dem zu versteuernden Einkommen einer Körperschaft, welches gemäß § 7 Abs. 1 KStG ermittelt wird. Dabei sind die Einkünfte aus Gewerbebetrieb, Kapitalvermögen und anderen Einkunftsarten zu berücksichtigen, abzüglich der abzugsfähigen Aufwendungen."
CORP-TAX-002,"Die Vergabe eines zinslosen Darlehens an einen Gesellschafter kann als verdeckte Gewinnausschüttung (§ 8 Abs. 3 KStG) qualifiziert werden, was zu einer Erhöhung der Körperschaftsteuerpflicht führt. Zudem könnte der Gesellschafter im Rahmen der Einkommensteuer (§ 27 EStG) steuerpflichtige Einkünfte aus Kapitalvermögen erzielen, wenn das Darlehen als vorteilhaft angesehen wird."
CORP-TAX-003,"Gemäß § 2 Abs. 3 KStG sind Körperschaften, die als Gewerbebetrieb gelten, verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen. Dazu zählen insbesondere Kapitalgesellschaften wie GmbHs und AGs."
CORP-TAX-004,"(a) Bei der Tochtergesellschaft wird die ausgeschüttete Dividende gemäß § 4 Abs. 1 EStG als Aufwand behandelt, was zu einer Minderung des steuerlichen Gewinns führt.  
(b) Bei der Muttergesellschaft unterliegt die erhaltene Dividende gemäß § 10 KStG der Steuerbefreiung, sofern die Beteiligung mindestens 10 % beträgt und die Muttergesellschaft in Österreich ansässig ist."
CORP-TAX-005,"Eine offene Ausschüttung wird gemäß § 27 Abs. 1 KStG als Dividende behandelt und unterliegt der Körperschaftsteuer. Eine verdeckte Ausschüttung hingegen wird nicht als solche ausgewiesen und kann gemäß § 8 Abs. 3 KStG zu einer Erhöhung des steuerlichen Einkommens der Körperschaft führen, da sie als nicht abzugsfähige Betriebsausgabe gilt."
CORP-TAX-006,"Der maximal mögliche Verlustabzug in einem Veranlagungsjahr beträgt gemäß § 18 Abs. 2 EStG 2021 bis zu 1 Million Euro für Einzelpersonen und 2 Millionen Euro für zusammen veranlagte Ehepaare. Ausnahmen bestehen beispielsweise für Verluste aus der Veräußertung von Beteiligungen oder aus bestimmten Einkünften, die nicht mit anderen Einkünften verrechnet werden dürfen."
CORP-TAX-007,"Ein Mantelkauf bezeichnet den Erwerb einer Gesellschaft, die über einen ""leeren"" Mantel verfügt, also keine aktiven Geschäfte mehr betreibt, aber steuerliche Verlustvorträge oder andere steuerliche Vorteile hat. Steuerlich relevant ist § 8 Abs. 4 KStG, der besagt, dass Verlustvorträge bei einem Mantelkauf unter bestimmten Bedingungen nicht genutzt werden können, um Missbrauch zu verhindern."
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters gilt steuerlich, dass dieser als Einlage in das Eigenkapital der Körperschaft behandelt wird, was gemäß § 4 Abs. 12 EStG zu einer Erhöhung des steuerlichen Eigenkapitals führt. Der Verzicht kann jedoch auch als verdeckte Einlage angesehen werden, was Auswirkungen auf die Gewinnermittlung und die Ausschüttungsfähigkeit haben kann."
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterliegt gemäß § 9 Abs. 7 KStG besonderen Regelungen, da Verluste ausländischer Tochtergesellschaften nicht in die Verlustverrechnung der inländischen Gruppe einfließen können. Inländische Gruppenmitglieder hingegen können ihre Verluste gemäß § 9 KStG innerhalb der Gruppe verrechnen, was bei ausländischen Mitgliedern nicht möglich ist."
CORP-TAX-010,"Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind grundsätzlich nicht steuerpflichtig, da sie im Rahmen der Gruppenbesteuerung nach § 9 KStG als interne Verrechnungen betrachtet werden. Diese Regelung ermöglicht es, die steuerlichen Ergebnisse der Gruppenmitglieder zusammenzuführen, ohne dass es zu einer Besteuerung der Umlagen kommt."
CORP-TAX-011,"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind gemäß § 6 Abs. 1 Z 3 lit. a EStG abzugsfähig, sofern die Voraussetzungen für die Teilwertabschreibung erfüllt sind. Dies gilt insbesondere, wenn eine dauerhafte Wertminderung vorliegt."
CORP-TAX-012,"Die Dividende einer ausländischen EU-Tochtergesellschaft wird gemäß § 10 Abs. 1 KStG steuerfrei behandelt, wenn die Beteiligung mindestens 10 % beträgt und seit mindestens einem Jahr gehalten wird. Da die Beteiligung in Ihrem Fall 15 % beträgt und seit 2 Jahren gehalten wird, ist die Dividende steuerfrei."
CORP-TAX-013,"§ 10 KStG regelt die Beteiligungsbefreiung für Gewinne aus der Beteiligung an anderen Kapitalgesellschaften, während § 12 Abs. 1 Z 10 KStG ein Abzugsverbot für Lizenzgebühren vorsieht, die an verbundene Unternehmen gezahlt werden. Diese Vorschriften betreffen unterschiedliche Aspekte der Besteuerung und können daher gleichzeitig auf denselben Konzern anwendbar sein, da sie unterschiedliche steuerliche Effekte und Voraussetzungen haben."
CORP-TAX-014,"Für eine internationale Schachtelbeteiligung müssen gemäß § 10 Abs. 1 KStG folgende Voraussetzungen erfüllt sein: Die Beteiligung muss mindestens 10 % des Stammkapitals oder der Anteile an einer ausländischen Kapitalgesellschaft betragen, die Gesellschaft muss in einem EU- oder EWR-Staat ansässig sein, und die Beteiligung muss mindestens ein Jahr gehalten werden."
CORP-TAX-015,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden gemäß § 10 Abs. 1 KStG steuerfrei behandelt, sofern die Beteiligung mindestens 10 % beträgt und die Beteiligung seit mindestens einem Jahr gehalten wird. Dies gilt unter der Voraussetzung, dass die ausländische Gesellschaft nicht in einem Niedrigsteuerland ansässig ist."
CORP-TAX-016,"Nein, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind nicht als Betriebsausgabe abzugsfähig. Dies ergibt sich aus § 20 Abs. 1 Z 2 lit. a EStG, der den Abzug von Aufwendungen für steuerfreie Einkünfte ausschließt."
CORP-TAX-017,"§ 11 KStG regelt die Abzugsfähigkeit von Betriebsausgaben, die im Zusammenhang mit der Erzielung von Einkünften stehen, während § 12 KStG bestimmte Aufwendungen auflistet, die nicht als Betriebsausgaben abgezogen werden dürfen, wie z.B. Geldstrafen oder Aufwendungen für die private Lebensführung. Der Hauptunterschied liegt also in der Abgrenzung zwischen abzugsfähigen und nicht abzugsfähigen Aufwendungen."
CORP-TAX-018,"Ja, freiwillige Spenden zu gemeinnützigen Zwecken sind grundsätzlich abzugsfähig, sofern sie an anerkannte gemeinnützige Organisationen geleistet werden. Die relevanten Gesetzesstellen sind § 18 Abs. 1 Z 7 EStG für Einkommenssteuerpflichtige und § 4 Abs. 4 Z 3 KStG für Körperschaften."
CORP-TAX-019,"(a) EU-Geldbußen sind gemäß § 20 Abs. 1 Z 3 EStG nicht abzugsfähig.  
(b) Spenden an begünstigte Empfänger sind nur bis zu bestimmten Höchstgrenzen abzugsfähig (§ 18 Abs. 1 Z 7 EStG).  
(c) Aufsichtsratsvergütungen sind grundsätzlich abzugsfähig, müssen jedoch angemessen sein (§ 20 Abs. 1 Z 2 EStG).  
(d) Lizenzgebühren an konzernzugehörige Gesellschaften sind abzugsfähig, jedoch können bei der Verrechnungspreisgestaltung besondere Vorschriften (§ 8 Abs. 1 KStG) zu beachten sein."
CORP-TAX-020,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn sie nicht dem Fremdvergleichsgrundsatz entsprechen, also wenn die Höhe der Gebühren nicht marktüblich ist (§ 8 Abs. 1 KStG). Zudem können sie gemäß § 12 Abs. 1 Z 1 EStG als nicht abzugsfähig gelten, wenn sie nicht betrieblich veranlasst sind."
